Dataset,Model,Fold,roc_auc,accuracy,balanced_accuracy,precision,recall,f1,Method
HDC,Gradient Boosting,2,0.9991452991452991,0.985781990521327,0.9861348528015195,0.9922480620155039,0.9846153846153847,0.9884169884169884,Class weighting
HDC,Gradient Boosting,3,0.9864197530864198,0.981042654028436,0.9822886989553656,0.9921875,0.9769230769230769,0.9844961240310077,Class weighting
HDC,Gradient Boosting,4,0.9999527320854604,0.990521327014218,0.9922480620155039,1.0,0.9844961240310077,0.9921875,Class weighting
HDC,Gradient Boosting,5,0.9931461523917564,0.990521327014218,0.9922480620155039,1.0,0.9844961240310077,0.9921875,Class weighting
HDC,XGBoost,1,0.9999050332383665,0.995260663507109,0.9961538461538462,1.0,0.9923076923076923,0.9961389961389961,Class weighting
HDC,XGBoost,2,0.9998100664767331,0.985781990521327,0.9861348528015195,0.9922480620155039,0.9846153846153847,0.9884169884169884,Class weighting
HDC,XGBoost,3,0.9912630579297247,0.981042654028436,0.9799620132953466,0.9846153846153847,0.9846153846153847,0.9846153846153847,Class weighting
HDC,XGBoost,4,0.999149177538287,0.985781990521327,0.9883720930232558,1.0,0.9767441860465116,0.9882352941176471,Class weighting
HDC,XGBoost,5,0.9949896010588013,0.990521327014218,0.9922480620155039,1.0,0.9844961240310077,0.9921875,Class weighting
HDC,CatBoost,1,0.9999050332383665,0.995260663507109,0.9938271604938271,0.9923664122137404,1.0,0.9961685823754789,Class weighting
HDC,CatBoost,2,0.9998100664767331,0.990521327014218,0.9899810066476733,0.9923076923076923,0.9923076923076923,0.9923076923076923,Class weighting
HDC,CatBoost,3,0.9878442545109212,0.981042654028436,0.9799620132953466,0.9846153846153847,0.9846153846153847,0.9846153846153847,Class weighting
HDC,CatBoost,4,0.9993382491964454,0.981042654028436,0.982274532047646,0.9921259842519685,0.9767441860465116,0.984375,Class weighting
HDC,CatBoost,5,0.9970693892985442,0.990521327014218,0.9922480620155039,1.0,0.9844961240310077,0.9921875,Class weighting
HDC,Extra Trees,1,0.991358024691358,0.9478672985781991,0.9390788224121558,0.9407407407407408,0.9769230769230769,0.9584905660377359,Class weighting
HDC,Extra Trees,2,0.9869420702754037,0.9478672985781991,0.9507122507122507,0.976,0.9384615384615385,0.9568627450980393,Class weighting
HDC,Extra Trees,3,0.977397910731244,0.9383886255924171,0.938366571699905,0.9606299212598425,0.9384615384615385,0.9494163424124513,Class weighting
HDC,Extra Trees,4,0.9849215352618642,0.943127962085308,0.9423804121762147,0.9606299212598425,0.9457364341085271,0.953125,Class weighting
HDC,Extra Trees,5,0.9832671582529778,0.9383886255924171,0.9340612592172434,0.9461538461538461,0.9534883720930233,0.9498069498069498,Class weighting
Cleveland,Gradient Boosting,1,0.882943143812709,0.7959183673469388,0.7976588628762542,0.76,0.8260869565217391,0.7916666666666666,Class weighting
Cleveland,Gradient Boosting,2,0.8047138047138047,0.7755102040816326,0.7668350168350169,0.7894736842105263,0.6818181818181818,0.7317073170731707,Class weighting
Cleveland,Gradient Boosting,3,0.8444055944055944,0.7708333333333334,0.770979020979021,0.7391304347826086,0.7727272727272727,0.7555555555555555,Class weighting
